一 ichi "one; best"
度胸 dokyou "courage, bravery, pluck, nerve, grit, guts"
脅威 kyoui "threat, menace"
脅迫 kyouhaku "threat, menace, coercion, terrorism"
脅し odoshi threat
訓練 kunren "training, drill, practice, discipline"
教訓 kyoukun "lesson, precept, teachings, moral"
特訓 tokkun "special training, intensive training, crash course"
郡 gun "district, county; district (of 2-20 50-home neighbourhoods or townships, in the ritsuryo period)"
郡司 gunji "district governor (Ritsuryo period)"
知恵 chie "wisdom, wit, sagacity, sense, intelligence; prajna (insight leading to enlightenment)"
恩恵 onkei "grace, favor, favour, blessing, benefit"
恵比寿 ebisu Ebisu
桁 keta "column, beam, girder, crossbeam, spar, yard; digit, decade, order of magnitude"
桁違い ketachigai "an order of magnitude higher, off by a digit, in a different league, unbelievable, incomparable, unimaginable"
桁外れ ketahazure "incredible, extraordinary, exceptional, phenomenal"
倹約 ken'yaku "thrift, economy, frugality"
兼 ken "cum (e.g. bedroom-cum-study), holding both roles (e.g. Prime Minister and Minister of Foreign Affairs), and, in addition, concurrently, at the same time"
兼用 ken'you "multi-use, combined use, combination, serving two purposes"
兼ね合い kaneai "equilibrium, good balance, poise"
真剣 shinken "serious, earnest; real sword (as opposed to unsharpened or wooden practice weapon)"
剣 ken "sword (originally esp. a doubled-edged sword), sabre, saber, blade; bayonet"
剣道 kendou "kendo, swordmanship, fencing"
拳 kobushi fist
拳銃 kenjuu "pistol, handgun, revolver"
太極拳 taikyokuken "grand ultimate fist, Tai Chi Chuan"
軒 noki "eaves; narrow aisle surrounding the core of a temple building"
軒並み nokinami "row of houses; every house, each house, every door"
一軒家 ikken'ya "detached house, single house, single building; isolated house, house in isolated location"
原発 genpatsu "primary (e.g. primary immunodeficiency syndrome)"
原因 gen'in "cause, origin, source"
原子力 genshiryoku "atomic energy, nuclear power"
個人 kojin "individual, private person, personal, private"
個 ko "counter for articles; counter for military units"
個性 kosei "individuality, personality, idiosyncrasy, character, individual characteristic"
冷蔵庫 reizouko "refrigerator, fridge"
在庫 zaiko "inventory, stock, stockpile"
文庫 bunko "library, book collection"
娯楽 goraku "pleasure, amusement"
覚悟 kakugo "resolution, resignation, readiness, preparedness"
悟り satori "comprehension, understanding; enlightenment, spiritual awakening, satori"
悟る satoru "to perceive, to sense, to discern; to understand, to comprehend, to realize"
候補 kouho "candidate, contender, prospect, pick, choice, list; candidacy, candidature, nomination"
気候 kikou climate
天候 tenkou weather
学校 gakkou school
小学校 shougakkou "primary school, elementary school, grade school"
高校生 koukousei "senior high school student"
農耕 noukou "farming, agriculture, cultivation"
耕作 kousaku "cultivation, farming"
耕地 kouchi "arable land"
航空 koukuu "aviation, flying"
航空機 koukuuki aircraft
航海 koukai "voyage, navigation, sailing, passage, cruise"
貢献 kouken "contribution (furthering a goal or cause), services (to a cause)"
年貢 nengu "annual tribute, land tax"
貢 kou tribute
以降 ikou "on and after, as from, hereafter, thereafter, since"
降り furi "rainfall, snowfall; alighting, descending"
降る furu "to fall (of rain, snow, ash, etc.), to come down; to form (of frost)"
高い takai "high, tall; expensive, high-priced"
高 taka "quantity, amount, volume, number, amount of money"
最高 saikou "most, highest, maximum, uppermost, supreme; best, wonderful, finest"
剛 gou "strong, hard, manly"
剛力 gouriki "herculean strength, mountain carrier-guide"
剛性 gousei "hardness, rigidity"
骨 kotsu "knack, skill, trick, secret, know-how, the ropes, hang"
骨折 kossetsu "bone fracture"
骨盤 kotsuban pelvis
根拠 konkyo "basis, foundation"
根本 kongen "root, source, origin, foundation, base, principle"
屋根 yane roof
示唆 shisa "suggestion, hint, implication"
差 sa "difference, variation; difference"
差別 sabetsu "distinction, differentiation, discrimination; discrimination (against people)"
日差し hizashi "sunlight, rays of the Sun"
座 za "seat, place; position, status"
講座 kouza "academic teaching unit, lectureship, professorial chair; course (e.g. of lectures)"
口座 kouza "account (e.g. bank)"
挫折 zasetsu "setback, failure (e.g. plans, business), frustration, discouragement"
捻挫 nenza "sprain, twist, wrench"
頓挫 tonza "setback, deadlock, being at a standstill or impasse"
主宰 shusai "supervision, superintendence, chairmanship, chairman"
宰相 saishou "prime minister"
大宰府 dazaifu "dazaifu (under the ritsuryo system, governmental office with jurisdiction over Kyushu, Iki and Tsushima)"
栽培 saibai cultivation
盆栽 bonsai "bonsai, miniature potted plant"
剤 zai "medicine, agent, (chemical) substance, drug, dose"
洗剤 senzai "detergent, cleanser, cleaning agent, washing material"
薬剤 yakuzai "medicine, drug, chemical"
財政 zaisei "public finance; financial affairs, financial situation"
財布 saifu "purse, handbag, wallet"
財産 zaisan "property, fortune, assets"
検索 kensaku "looking up (e.g. a word in a dictionary), retrieval (e.g. data), searching for, referring to"
模索 mosaku "groping (for), exploring for a solution"
探索 tansaku "search, lookup, hunt, (item of) research, exploration, investigation"
殺し koroshi "murder, killing, murderer"
自殺 jisatsu suicide
殺人 satsujin "murder, homicide, manslaughter"
桟橋 sanbashi "wharf, bridge, jetty, pier"
桟敷 sajiki "reviewing stand, box, gallery"
桟 san "frame (i.e. of a sliding door); crosspiece, bar"
蚕 kaiko "silkworm (Bombyx mori)"
養蚕 yousan "sericulture, silkworm culture, silkworm raising"
蚕室 sanshitsu "silkworm-raising room"
残念 zannen "deplorable, regrettable, disappointing, vexing, unfortunate"
残り nokori "remnant, residue, remaining, left-over"
残る nokoru "to remain, to be left"
師 shi "teacher, master, one's mentor; religious leader"
医師 ishi "doctor, physician"
教師 kyoushi "teacher (classroom)"
恣意 shii arbitrariness
放恣 houshi "licentious, self-indulgent"
紙 kami paper
手紙 tegami letter
表紙 hyoushi "cover (of a book, magazine, etc.), binding; appearing on the cover of a magazine"
脂肪 shibou "fat, grease, blubber, lard, suet"
脂 abura "fat, tallow, lard, grease"
樹脂 jushi "resin, rosin"
時 toki "time, hour, moment; occasion, case"
時間 jikan "time; hour"
時代 jidai "period, epoch, era, age; the times, those days"
疾患 shikkan "disease, ailment, illness"
疾走 shissou "sprint, dash, scampering"
疾病 shippei "illness, disease"
放射線 houshasen radiation
放射能 houshanou radioactivity
放射 housha "radiation, emission"
借り kari "borrowing, debt, loan"
借金 shakkin "debt, loan, liabilities, borrowing money"
借りる kariru "to borrow, to have a loan; to rent, to hire"
晩酌 banshaku "drink at home with the evening meal, dinner-time drink"
酌 shaku "pouring alcohol, person pouring alcohol"
斟酌 shinshaku "consideration (for others), (making) allowance"
弱い yowai "weak, frail, delicate, tender, unskilled, weak (wine)"
弱 jaku "little less than, slightly fewer than, just under; weakness, the weak"
弱点 jakuten "weak point, weakness, shortcoming, defect, flaw, sore spot, tender spot"
特殊 tokushu "special, particular, peculiar, unique"
殊に kotoni "especially, particularly, unusually, above all"
殊更 kotosara "intentionally, deliberately; especially, particularly"
真珠 shinju pearl
曼珠沙華 manjushage "red spider lily (Lycoris radiata), cluster amaryllis, cluster belladonna, manjusaka"
珠玉 shugyoku "gem, jewel; beautiful, accomplished, charming"
酒 sake "alcohol, sake"
居酒屋 izakaya izakaya
酒造 shuzou "sake brewing"
修正 shuusei "amendment, correction, revision, modification, alteration, retouching, update, fix"
修理 shuuri "repair, mending, fixing, servicing"
研修 kenshuu "training (esp. in-service), induction course"
袖 sode "sleeve; wing (of a stage, desk, gate, etc.)"
長袖 nagasode "long sleeves"
半袖 hansode "short sleeves"
従来 juurai "up to now, so far; traditional, conventional, usual, existing"
従業 juugyou employment
に従って nishitagatte "in accordance with, according to, as X, then Y (e.g. as we age we gain wisdom, as wine matures it becomes more valuable, etc.)"
批准 hijun ratification
殉教者 junkyousha martyr
殉職 junshoku "dying at one's post, being killed in the line of duty"
殉死 junshi "following one's master into the grave, committing suicide after one's lord has died"
単純 tanjun "simple, plain, uncomplicated, straightforward"
純粋 junsui "pure, true, genuine, unmixed"
純正 junsei "genuine, pure, perfect"
書く kaku "to write, to compose, to pen; to draw, to paint"
書 sho "book, document; calligraphy (esp. Chinese), penmanship"
書籍 shoseki "book, publication"
徐々に jojoni "gradually, steadily, slowly, little by little, step by step, by degrees"
徐行 jokou "going slowly"
掃除 souji "cleaning, sweeping, dusting, scrubbing"
削除 sakujo "deletion, elimination, erasure, striking out"
解除 kaijo "cancellation, rescinding, release, calling off, lifting (sanctions), delisting"
今宵 koyoi "this evening, tonight"
宵 yoi "evening, early night hours"
春宵 shunshou "spring evening"
将来 shourai "future (usually near), prospects"
武将 bushou "military commander"
将軍 shougun "general, shogun"
消費 shouhi "consumption, expenditure"
解消 kaishou "cancellation, liquidation, resolution, reduction (e.g. of stress)"
消化 shouka "digestion (of food); digestion (of information), assimilation, thorough understanding"
症状 shoujou "symptoms, condition (of a patient)"
症 shou illness
発症 hasshou "outbreak of an illness, onset of an illness, appearance of symptoms"
発祥 hasshou "origin; appearance of auspicious omen"
不祥事 fushouji "scandal, deplorable event"
吉祥 kisshou "lucky omen, happy, auspicious"
名称 meishou "name, title"
通称 tsuushou "popular name, common name, nickname, alias"
自称 jishou "self-proclaimed, self-professed, self-styled, would-be; professing oneself to be, calling oneself, describing oneself as"
笑 wara "LOL, haha"
笑顔 egao "smiling face, smile"
笑い warai "laugh, laughter; smile"
屈辱 kutsujoku "disgrace, humiliation"
侮辱 bujoku "insult, affront, slight, contempt (e.g. of court)"
雪辱 setsujoku "vindication of honour, vindication of honor, making up for loss, revenge"
唇 kuchibiru lips
上唇 uwakuchibiru "upper lip; labrum"
口唇 koushin "lips, labia"
妊娠 ninshin "conception, pregnancy"
振り furi "swing, shake, wave, swinging; appearance, behaviour"
振動 shindou "oscillation, vibration, swing (e.g. of a pendulum)"
振り返る furikaeru "to turn head, to look over one's shoulder, to turn around, to look back; to think back (on), to reminisce, to look back (on), to reflect (on)"
浸透 shintou "penetration (e.g. market), pervasion (e.g. thought, ideology); permeation, soaking, osmosis"
浸水 shinsui "inundation, submersion, flood"
浸る hitaru "to be soaked in, to be flooded, to be submerged; to be immersed in (joy, memories, alcohol, etc.), to give oneself over to, to bask in"
写真 shashin "photograph, photo, picture, snapshot, snap; movie"
真 shin "truth, reality, genuineness; seriousness"
真ん中 mannaka "middle, centre, center, midpoint, heart"
方針 houshin "policy, plan, course, principle, objective; magnetic needle"
針 hari "needle, pin; hook"
指針 shishin "needle (compass, gauge, etc.), hand (clock), indicator, pointer, index; guiding principle, guideline, guide"
陣 jin "battle formation; camp, encampment, position"
陣営 jin'ei "camp (group of same ideological beliefs), faction (of political party); military camp, encampment, cantonment"
陣痛 jintsuu "labour pains, labor pains, birth pains, contractions"
純粋 junsui "pure, true, genuine, unmixed"
抜粋 bassui "extract, excerpt, selection"
粋 iki "chic, smart, stylish, tasteful, refined, sophisticated, worldly (esp. in terms of being familiar with the red light district, geishas and actors); considerate, understanding, sympathetic"
衰え otoroe "weakening, emaciation, decline"
衰退 suitai "decline, degeneration, decay, waning, ebbing"
減衰 gensui "attenuation, damping, decay"
凄い sugoi "terrible, dreadful; amazing (e.g. of strength), great (e.g. of skills), wonderful, terrific"
凄く sugoku "awfully, very, immensely"
物凄い monosugoi "extreme, incredible, staggering; frightful, ghastly, terrible, horrible, scary"
逝去 seikyo death
急逝 kyuusei "sudden death"
夭逝 yousei "premature death"
席 seki "seat; location (of a gathering, etc.), place"
出席 shusseki "attendance, presence, appearance; to attend, to be present, to appear"
座席 zaseki seat
脊椎 sekitsui "spine, vertebral column"
脊髄 sekizui "spinal cord"
脊椎動物 sekitsuidoubutsu vertebrate
隻 seki "counter for ships (large boats); counter for half of a pair (e.g. half of a folding screen)"
扇風機 senpuuki "electric fan"
扇 ougi "folding fan"
換気扇 kankisen "ventilation fan"
栓 sen "stopper, cork, stopcock"
血栓 kessen "thrombus, blood clot"
消火栓 shoukasen "fire hydrant"
租税 sozei "taxes, taxation"
素晴らしい subarashii "wonderful, splendid, magnificent"
素敵 suteki "lovely, wonderful, nice, great, fantastic, superb, cool"
要素 youso "component, factor, item (e.g. in list); element (e.g. in array), member (e.g. data structure)"
鎌倉 kamakura "Kamakura (city)"
倉庫 souko "storehouse, warehouse, godown"
倉敷 kurashiki "storage charges"
捜査 sousa "search (esp. in criminal investigations), investigation, inquiry, enquiry"
捜索 sousaku "search (esp. for someone or something missing), manhunt; legally authorized search of a person, building, etc."
特捜 tokusou "special investigation"
挿入 sounyuu "insertion, incorporation, infixing"
挿絵 sashie "illustration (e.g. book), picture"
挿す sasu "to insert, to put in; to plant (a cutting), to strike"
桑原 kuwabara "mulberry field"
桑田 souden "mulberry plantation"
桑 kuwa "mulberry (tree)"
構造 kouzou "structure, construction, makeup, framework, organization, pattern"
創造 souzou creation
製造 seizou "manufacture, production"
息子 musuko son
息 iki "breath, breathing; tone, mood"
一息 hitoiki "one breath; time of one breath"
捉える toraeru "to catch, to capture, to seize, to arrest, to grab, to catch hold of; to grasp (e.g. meaning), to perceive, to capture (e.g. features)"
捕捉 hosoku "capture, seizure, prehension, trapping; apprehension, understanding, grasp"
高速 kousoku "high-speed, rapid, express"
早速 sassoku "at once, immediately, without delay, promptly"
速度 sokudo "speed, velocity, pace, rate; velocity"
孫 mago grandchild
子孫 shison "descendant, posterity, offspring"
お孫さん omagosan grandchild
携帯 keitai "something carried (in the hand), handheld, portable"
帯 obi "obi; paper wrapper on books, CDs, etc."
地帯 chitai "area, zone"
泰 tai Thailand
安泰 antai "peace, security, tranquility, tranquillity"
泰山 taizan "large mountain, Mt Taishan (China)"
委託 itaku "entrusting (something to a person), consignment (of goods), putting in someone's charge, trust, commission"
託児 takuji "childcare, day care"
信託 shintaku "trust, entrusting"
値 atai "price, cost; value, worth, merit"
価値 kachi "value, worth, merit"
値段 nedan "price, cost"
恥ずかしい hazukashii "embarrassing, embarrassed, ashamed, humiliated, shy; disgraceful, shameful"
恥 haji "shame, embarrassment, disgrace"
羞恥 shuuchi "shyness, bashfulness, shame"
一致 itchi "coincidence, agreement, union, match; conformity, consistency"
致命 chimei fatal
拉致 rachi "taking captive, carrying away, kidnapping, kidnaping, abduction"
家畜 kachiku "domestic animals, livestock, cattle"
畜産 chikusan "animal husbandry, livestock industry"
鬼畜 kichiku "brute, savage, fiend"
駆逐 kuchiku "extermination, expulsion, destruction"
逐一 chikuichi "one by one, in detail, minutely"
逐次 chikuji "successively, one after another, sequentially"
秩序 chitsujo "order, discipline, regularity, system, method"
無秩序 muchitsujo "disorder, chaos, confusion"
折衷 setchuu "compromise, cross, blending, eclecticism"
和洋折衷 wayousetchuu "blending of Japanese and Western styles"
衷心 chuushin "innermost feelings"
焼酎 shouchuu shochu
進捗 shinchoku "progress, being under way"
捗る hakadoru "to make progress, to move right ahead (with the work), to advance"
普通 futsuu "general, ordinary, usual; normally, generally, usually"
通り toori "avenue, street, way, road; coming and going, street traffic"
通常 tsuujou "usual, ordinary, normal, regular, general, common"
家庭 katei "home, family, household"
庭 niwa "garden, yard, courtyard; field (of action), area"
庭園 teien "garden, park"
逓減 teigen "gradual decrease, gradual diminution"
哲学 tetsugaku philosophy
哲 tetsu "sage, wise man, philosopher, disciple; sagacity, wisdom, intelligence"
変哲 hentetsu "something unusual, something odd, something out of the ordinary"
展開 tenkai "development, evolution, progressing, unfolding, (plot) twist; expansion, spreading out, extending, deployment, building up"
展示 tenji "exhibition, display"
発展 hatten "development, growth, expansion, extension, flourishing; development (of a situation, story, etc.), advancement, progression, unfolding"
生徒 seito "pupil, student, schoolchild"
徒歩 toho "walking, going on foot"
教徒 kyouto "believer, adherent"
途中 tochuu "on the way, en route; in the middle of, midway"
中途半端 chuutohanpa "halfway, half measures, unfinished, incomplete, by halves, half-baked, half-cocked"
用途 youto "use, service, purpose"
面倒 mendou "trouble, bother; trouble, difficulty"
圧倒的 attouteki overwhelming
倒れ taore "bad debt; collapse (esp. pref.)"
冷凍 reitou "freezing, cold storage, refrigeration"
解凍 kaitou "thaw, defrosting; decompression (e.g. of a file), unpacking, extracting, unzipping"
凍結 touketsu "freezing (e.g. water); freezing (prices, wages, assets, etc.), moratorium, suspension (e.g. investment)"
唐辛子 tougarashi "capsicum (Capsicum annuum, esp. the cultivated chili peppers), chili pepper (chile, chilli), cayenne, red pepper"
唐突 toutotsu "abrupt, sudden"
唐 tou "Tang dynasty (China, 618-907), T'ang dynasty"
島 shima "island; territory (of a prostitute, organized crime gang, etc.), turf"
広島 hiroshima "Hiroshima (city); atomic bombing of Hiroshima"
中島 nakajima "island in a pond or river"
桃 momo "peach (Prunus persica)"
桃色 momoiro "pink (colour, color)"
桃源郷 tougenkyou "Arcady, Eden, Shangri-la"
検討 kentou "consideration, examination, investigation, study, scrutiny, discussion, analysis, review"
討論 touron "debate, discussion"
討伐 toubatsu "subjugation (using military force), suppression, subduing"
透明 toumei "transparent, clear"
浸透 shintou "penetration (e.g. market), pervasion (e.g. thought, ideology); permeation, soaking, osmosis"
透過 touka "penetration, permeation, transmission"
民主党 minshutou "Democratic Party (esp. DPJ or US Democratic Party)"
党 tou "party (political); faction, -ite"
政党 seitou "political party"
胴体 doutai "body, trunk, torso, hull (boat), fuselage (aircraft)"
胴 dou "trunk, torso, body, abdomen, waist; plastron (in kendo), touching the plastron (kimari-te in kendo)"
胴上げ douage "lifting a person high (in celebration), tossing someone into the air, carrying someone on shoulders"
匿名 tokumei "anonymity, using an assumed name"
秘匿 hitoku "hiding, concealment"
隠匿 intoku concealment
特に tokuni "particularly, especially, in particular, expressly"
特別 tokubetsu "special, particular, extraordinary, exceptional, especial"
特徴 tokuchou "feature, trait, characteristic, peculiarity, distinction"
悩み nayami "trouble, troubles, worry, distress, sorrows, anguish, agony, problem"
悩む nayamu "to be worried, to be troubled"
苦悩 kunou "(mental) agony, anguish, suffering, distress"
納得 nattoku "consent, assent, agreement; understanding, comprehension, grasp"
格納 kakunou "storage, housing for equipment and machines; putting into computer memory"
収納 shuunou "storage, putting or stowing away; receipt (of funds, payment, etc.)"
可能 kanou "possible, potential, practicable, feasible"
機能 kinou "function, facility, faculty, feature"
能力 nouryoku "ability, faculty"
破壊 hakai "destruction, disruption; (application) crash"
破綻 hatan "failure, collapse, breakdown, break-up, bankruptcy"
突破 toppa "breaking through, breakthrough, penetration; surmounting, overcoming"
馬 uma "horse; horse racing"
馬鹿 baka "fool, idiot; trivial matter, folly, absurdity"
競馬 keiba "horse racing"
俳句 haiku haiku
俳人 haijin "haiku poet"
俳優 haiyuu "actor, actress, player, performer"
心配 shinpai "worry, concern, anxiety, uneasiness, fear; care, help, aid, assistance"
配信 haishin "distribution (of information, etc.), broadcast, delivery, transmission"
支配 shihai "domination, rule, control; direction, management, guidance"
倍 bai "twice, double; times, -fold"
倍増 baizou double
倍率 bairitsu "magnification, leverage, amplification, scaling factor, scale factor; acceptance rate, pass rate (of an exam, etc.)"
梅 ume "Japanese apricot (Prunus mume), Japanese plum, ume, Chinese plum; lowest (of a three-tier ranking system)"
梅雨 tsuyu "rainy season (in Japan usu. from early June to mid-July); rain during the rainy season"
梅干し umeboshi "umeboshi, pickled dried ume, pickled dried plum"
班 han "group, party, team; squad, section"
班長 hanchou "squad leader, group leader, team leader"
首班 shuhan "head, leader, prime minister"
湖畔 kohan "lake shore"
河畔 kahan riverside
一般 ippan "general, universal; ordinary, average, common, non-celebrity"
全般 zenpan "(the) whole, entirety, wholly, as a whole, generally, universally"
一般人 ippanjin "ordinary person, member of the general public, non-celebrity"
疲れ tsukare "tiredness, fatigue"
疲労 hirou "fatigue, weariness"
お疲れ様 otsukaresama "thank you, many thanks, much appreciated; that's enough for today"
秘密 himitsu "secret, secrecy, confidentiality, privacy; mystery"
神秘 shinpi "mystery, mysteriousness, secret"
秘書 hisho "(private) secretary; treasured book, secret book"
被害 higai "(suffering) damage, injury, harm"
被災 hisai "being a victim of (some disaster), suffering from"
被曝 hibaku "being exposed to radiation, radiation exposure"
姫 hime "young lady of noble birth, princess (esp. in Western contexts, tales, etc.); girl"
お姫様 ohimesama "princess; spoiled girl, hothouse flower"
歌姫 utahime "songstress, diva"
俵 tawara "straw bag, sack, bale; counter for sacks (of rice, potatoes, coal, etc.)"
土俵 dohyou "(wrestling) ring; forum (e.g. for discussion)"
土俵入り dohyouiri "entrance procession of wrestlers into the ring"
病院 byouin hospital
病 yamai "illness, disease; bad habit, weakness, fault"
病気 byouki "illness (usu. excluding minor ailments, e.g. colds), disease, sickness; weirdness, bad habit, bad behaviour, craziness, perversion"
横浜 yokohama "Yokohama (city)"
浜 hama "beach, seashore"
浜松 hamamatsu "Hamamatsu (city)"
敏感 binkan "sensitive, alert, aware, susceptible"
過敏 kabin "nervousness, oversensitivity"
鋭敏 eibin "sharp, keen, acute"
浮かぶ ukabu "to float, to be suspended; to rise to surface"
浮上 fujou "surfacing, rising to the surface; emerging, leaping into prominence"
浮気 uwaki "extramarital sex, affair, fooling around; infidelity, wantonness, unfaithfulness, inconstancy, fickleness, caprice"
粉 kona "flour, meal, powder, dust"
花粉 kafun pollen
小麦粉 komugiko "wheat flour"
紛争 funsou "dispute, conflict, trouble, strife"
紛れ magure "fluke, chance, pure luck"
紛失 funshitsu "loss, going missing"
陛下 heika "Your Majesty, His Majesty, Her Majesty"
天皇陛下 tennouheika "His Majesty the Emperor"
勉強 benkyou "study; diligence"
勤勉 kinben "diligent, industrious"
勉学 bengaku "study, pursuit of knowledge"
哺乳類 honyuurui "mammal, mammalian"
哺乳 honyuu "lactation, suckling, mammal"
逮捕 taiho "arrest, apprehension, capture"
捕獲 hokaku "capture, seizure"
捕鯨 hogei "whaling, whale hunting, whale fishing"
年俸 nenpou "annual salary"
減俸 genpou "salary reduction, salary cut"
模倣 mohou "imitation, copying"
倣う narau "to imitate, to follow, to emulate"
最高峰 saikouhou "highest peak, highest mountain; greatest authority, most prominent person, pinnacle (e.g. of art), peak"
峰 mine "peak, summit, ridge, top; back of a blade"
秀峰 shuuhou "beautiful mountain, magnificent mountain"
砲 hou "gun, cannon, artillery, ordnance"
砲撃 hougeki "bombarding, shelling, bombardment"
発砲 happou "firing, discharge of gun"
解剖 kaibou "dissection, autopsy; analysis"
紡績 bouseki "spinning (textiles)"
紡ぐ tsumugu "to spin, to make yarn; to spin (a tale), to assemble (e.g. words), to put together"
混紡 konbou "mixed yarn, mixed spinning"
埋める uzumeru "to cover, to bury (e.g. one's face in hands), to submerge; to fill (completely), to stuff, to pack, to cram, to fill up"
埋め立て umetate "land reclamation"
埋め込む umekomu "to bury, to embed, to implant"
文脈 bunmyaku context
人脈 jinmyaku "personal connections"
動脈 doumyaku artery
睡眠 suimin sleep
眠り nemuri "sleep, sleeping; inactivity"
眠い nemui "sleepy, drowsy, somnolent"
娘 musume "(my) daughter; girl (i.e. a young, unmarried woman)"
孫娘 magomusume granddaughter
愛娘 manamusume "one's beloved daughter"
冥福 meifuku "happiness in the next world"
冥利 myouri "providence, luck, favor, favour, advantage"
冥土 meido "Hades, the underworld, the other world, realm of the dead"
消耗 shoumou "exhaustion, consumption, using up, dissipation, waste"
摩耗 mamou "wear, abrasion"
指紋 shimon fingerprint
波紋 hamon "ripple, ring on the water; repercussions"
紋 mon "(family) crest, coat of arms"
内容 naiyou "contents, content, substance, matter, detail, import"
美容 biyou "beauty of figure or form"
容量 youryou "capacity, volume"
入浴 nyuuyoku "bathing; to bathe, to take a bath, to enter a bath"
浴衣 yukata "yukata (light cotton kimono worn in the summer or used as a bathrobe)"
浴びる abiru "to dash over oneself (e.g. water), to take (e.g. shower), to bask in (e.g. the sun), to bathe in, to be flooded with (e.g. light), to be covered in; to suffer (e.g. an attack), to draw (e.g. criticism, attention, praise), to have heaped upon, to be showered with"
流れ nagare "flow (of a fluid or gas), stream, current; flow (of people, things), passage (of time), tide, passing, (changing) trends, tendency"
交流 kouryuu "(cultural) exchange, interchange, interaction, (inter-) mingling, (social, etc.) networking, intercourse; alternating current, AC"
流し nagashi "sink (e.g. kitchen); cruising (e.g. taxi), strolling (entertainer, musician, etc.)"
留学 ryuugaku "studying abroad"
留め tome "(a) stop (e.g. in a timber joint, or at the end of a kanji stroke); remaining (e.g. poste-restante)"
留学生 ryuugakusei "overseas student, exchange student"
竜 ryuu "dragon (esp. a Chinese dragon); naga"
恐竜 kyouryuu dinosaur
竜馬 ryuume "splendid horse; promoted bishop"
旅 tabi "travel, trip, journey"
旅行 ryokou "travel, trip, journey, excursion, tour"
旅館 ryokan "ryokan, traditional inn"
料理 ryouri "cooking, cookery, cuisine; dealing with something, handling, administration, management"
無料 muryou "free (of charge), gratuitous"
料 ryou "fee, charge, rate; material"
倫理 rinri "ethics, morals"
不倫 furin "adultery, immorality, impropriety"
絶倫 zetsurin "matchless, peerless, unequaled, unequalled, unparalleled, unrivaled"
涙 namida "tear, tears, lachrymal secretion; sympathy"
涙腺 ruisen "tear gland, lacrimal gland"
涙する namidasuru "to cry, to shed tears, to be moved to tears"
強烈 kyouretsu "strong, intense, severe"
猛烈 mouretsu "fierce, intense, severe, violent, strong, vehement, terrific, terrible"
熱烈 netsuretsu "ardent, passionate, vehement"
恋 koi "(romantic) love"
恋愛 ren'ai "love, love-making, passion, emotion, affections"
恋人 koibito "lover, sweetheart, boyfriend, girlfriend"
連絡 renraku "to contact, to get in touch; contacting, getting in touch, communication, call, message"
関連 kanren "relation, connection, relevance"
連れ tsure "companion, company"
朗読 roudoku "reading aloud, recitation"
朗報 rouhou "good news"
朗々 rourou "clear, sonorous, full-sounding, resonant, bright"
放浪 hourou wandering
浪費 rouhi "waste, extravagance"
浪人 rounin "rōnin, ronin, masterless samurai; high school graduate waiting for another chance to enter university after having failed the yearly entrance examination"
脇 waki "armpit, under one's arm, side, flank; beside, close to, near, by"
脇役 wakiyaku "supporting role (actor), minor role"
脇腹 wakibara "side (of the torso), flank; illegitimate child, child born by someone other than one's wife"
悪い warui "bad, poor, undesirable; poor (quality), inferior, insufficient"
悪 aku "evil, wickedness"
最悪 saiaku "worst; horrible, horrid, awful, terrible"
中尉 chuui "first lieutenant, lieutenant junior grade"
少尉 shoui "second lieutenant, sublieutenant, ensign"
大尉 taii "captain (Army, U.S. Marine Corps, USAF), lieutenant (Navy), flight lieutenant (RAF, RAAF, RNZAF, etc.)"
異なる kotonaru "to differ, to vary, to disagree"
異常 ijou "strangeness, abnormality, disorder"
異なり kotonari "unlike, unique, unusual"
移動 idou "movement, transfer, migration, removal, travel; mobile, moving, traveling, travelling, roving"
移行 ikou "switching over to, migration, transition"
移転 iten "moving, relocation, change of address; transfer (of deeds, property, etc.), demise"
萎縮 ishuku "withering, shrivelling, shrinking, atrophy, contraction"
萎える naeru "to lose strength, to become weak, to disappear (of energy, drive, etc.); to wither, to droop, to wilt"
地域 chiiki "area, region"
領域 ryouiki "area, domain, territory, field, range, region, regime"
域 iki "region, limits, stage, level"
秀逸 shuuitsu "excellent, superb, first-rate"
逸話 itsuwa anecdote
逸脱 itsudatsu "deviation, departure; omission"
淫 in licentiousness
淫ら midara "obscene, indecent, lewd, bawdy, loose, improper, dirty"
淫乱 inran "debauched, lewd, lascivious, lecherous, salacious, wild"
陰 in "yin (i.e. the negative); unseen location (i.e. somewhere private)"
陰謀 inbou "plot, intrigue, scheme; conspiracy"
日陰 hikage "shade, shadow; sunshine"
血液 ketsueki blood
液晶 ekishou "liquid crystal"
液 eki "liquid, fluid"
お菓子 okashi "confections, sweets, candy"
菓子 kashi "confectionery, sweets, candy, cake"
和菓子 wagashi wagashi
通貨 tsuuka currency
雑貨 zakka "miscellaneous goods, general goods, sundries"
貨幣 kahei "money, currency, coinage"
機械 kikai "machine, mechanism; instrument, appliance, apparatus"
器械体操 kikaitaisou "apparatus gymnastics, artistic gymnastics"
崖 gake "cliff, precipice; precipice, brink of a dangerous situation"
崖っぷち gakeppuchi "cliff edge, edge of a precipice; perilous position, critical moment, brink"
断崖 dangai "palisade, cliff"
生涯 shougai "life, lifetime, career; for life, all one's life, throughout one's life, as long as one lives"
境涯 kyougai "circumstances, one's situation or lot in life"
